"Variable","Description"
"practice_code","Practice code"
"total_all","Total number of register patients"
"lsao2011_all_linked ","Number of register patients with a valid LSAO2011 code"
"lsao2011_all_proportion","Proportion of register patients with a valid LSAO2011 code"
"ethinic_2011_attributed_5_1","Attributed proportion Census 2011 ethnic group: White"
"ethinic_2011_attributed_5_2","Attributed proportion Census 2011 ethnic group: Mixed/Multiple ethnic groups"
"ethinic_2011_attributed_5_3","Attributed proportion Census 2011 ethnic group: Asian/Asian British"
"ethinic_2011_attributed_5_4","Attributed proportion Census 2011 ethnic group: Black/ African/Caribbean/Black British"
"ethinic_2011_attributed_5_5","Attributed proportion Census 2011 ethnic group: Other ethnic group"
"ethinic_2011_attributed_18_01","Attributed proportion Census 2011 ethnic group: White - English/Welsh/Scottish/Northern Irish/British "
"ethinic_2011_attributed_18_02","Attributed proportion Census 2011 ethnic group: White - Irish "
"ethinic_2011_attributed_18_03","Attributed proportion Census 2011 ethnic group: White - Gypsy or Irish Traveller "
"ethinic_2011_attributed_18_04","Attributed proportion Census 2011 ethnic group: White - Any other White background, please describe"
"ethinic_2011_attributed_18_05","Attributed proportion Census 2011 ethnic group: Mixed/Multiple ethnic groups - White and Black Caribbean "
"ethinic_2011_attributed_18_06","Attributed proportion Census 2011 ethnic group: Mixed/Multiple ethnic groups - White and Black African "
"ethinic_2011_attributed_18_07","Attributed proportion Census 2011 ethnic group: Mixed/Multiple ethnic groups - White and Asian "
"ethinic_2011_attributed_18_08","Attributed proportion Census 2011 ethnic group: Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background, please describe"
"ethinic_2011_attributed_18_09","Attributed proportion Census 2011 ethnic group: Asian/Asian British - Indian"
"ethinic_2011_attributed_18_10","Attributed proportion Census 2011 ethnic group: Asian/Asian British - Pakistani"
"ethinic_2011_attributed_18_11","Attributed proportion Census 2011 ethnic group: Asian/Asian British - Bangladeshi"
"ethinic_2011_attributed_18_12","Attributed proportion Census 2011 ethnic group: Asian/Asian British - Chinese"
"ethinic_2011_attributed_18_13","Attributed proportion Census 2011 ethnic group: Asian/Asian British - Any other Asian background, please describe"
"ethinic_2011_attributed_18_14","Attributed proportion Census 2011 ethnic group: Black/ African/Caribbean/Black British - African "
"ethinic_2011_attributed_18_15","Attributed proportion Census 2011 ethnic group: Black/ African/Caribbean/Black British - Caribbean "
"ethinic_2011_attributed_18_16","Attributed proportion Census 2011 ethnic group: Black/ African/Caribbean/Black British - Any other Black/African/Caribbean background, please describe"
"ethinic_2011_attributed_18_17","Attributed proportion Census 2011 ethnic group: Other ethnic group - Arab "
"ethinic_2011_attributed_18_18","Attributed proportion Census 2011 ethnic group: Other ethnic group - Any other ethnic group, please describe"
