practice_code,total_male,lsao2011_male_linked,lsao2011_male_proportion,male_attributed_imd2015_score,total_female,lsao2011_female_linked,lsao2011_female_proportion,female_attributed_imd2015_score,total_all,lsao2011_all_linked,lsao2011_all_proportion,all_attributed_imd2015_score
A81001,2030,2029,0.999507389,29.38183194,2158,2158,1,27.72672289,4188,4187,0.999761223,28.52878075
A81002,9657,9657,1,29.68115667,9946,9946,1,29.05900513,19603,19603,1,29.36549482
A81003,1817,1817,1,41.29783159,1629,1629,1,41.5699515,3446,3446,1,41.42646866
A81004,4662,4656,0.998712999,35.39368621,4344,4342,0.999539595,33.31169277,9006,8998,0.999111703,34.38901678
A81005,3834,3834,1,15.50962624,4055,4055,1,15.73579088,7889,7889,1,15.62587641
A81006,5912,5912,1,31.75671211,6253,6253,1,31.02345098,12165,12165,1,31.37980444
A81007,4657,4657,1,31.97092227,4868,4868,1,31.5197198,9525,9525,1,31.74032346
A81008,2114,2114,1,51.89112583,1974,1974,1,51.9409387,4088,4088,1,51.91517931
A81009,4559,4558,0.999780654,36.2110871,4706,4706,1,34.74258181,9265,9264,0.999892067,35.46510417
A81011,5507,5507,1,35.11719956,5778,5778,1,34.57637124,11285,11285,1,34.84029163
A81012,2479,2479,1,49.35905849,2277,2274,0.998682477,50.16429288,4756,4753,0.999369218,49.74431054
A81013,3047,3047,1,30.16024975,3030,3030,1,29.62086997,6077,6077,1,29.8913143
A81014,1852,1852,1,21.49763985,1934,1934,1,22.62100052,3786,3786,1,22.07148547
A81015,1472,1472,1,24.74129416,1549,1548,0.999354422,24.02306654,3021,3020,0.999668984,24.37314305
A81016,4936,4932,0.999189627,44.59433962,4569,4568,0.999781134,42.99872329,9505,9500,0.999473961,43.82710011
A81017,10421,10412,0.999136359,19.0142501,10726,10717,0.999160917,19.18080321,21147,21129,0.999148815,19.09872876
A81018,2827,2823,0.998585073,32.44223663,2599,2596,0.99884571,31.82183783,5426,5419,0.998709915,32.14503137
A81019,5031,5029,0.999602465,49.01466017,5457,5448,0.998350742,49.67327441,10488,10477,0.998951182,49.35713706
A81020,3891,3891,1,31.28897224,4037,4035,0.999504583,32.17099281,7928,7926,0.99974773,31.73799483
A81021,6527,6527,1,34.83060028,6846,6845,0.999853929,34.53964967,13373,13372,0.999925222,34.68166542
A81022,5350,5350,1,27.82842318,5408,5408,1,27.95365255,10758,10758,1,27.89137544
A81023,3988,3987,0.999749248,47.28341861,3761,3760,0.999734113,45.72430559,7749,7747,0.999741902,46.5267044
A81025,2092,2092,1,32.91211138,2070,2070,1,31.98036232,4162,4162,1,32.44869942
A81026,6769,6769,1,38.02360363,6795,6795,1,37.09003591,13564,13564,1,37.55592502
A81027,6377,6377,1,7.93729183,6590,6590,1,8.18892868,12967,12967,1,8.065176988
A81029,3177,3177,1,48.78776771,2583,2583,1,46.91629191,5760,5760,1,47.94852778
A81030,5986,5982,0.999331774,29.39026697,6003,5997,0.9990005,27.18047157,11989,11979,0.999165902,28.28398573
A81031,6160,6160,1,35.07185909,6511,6511,1,34.58468607,12671,12671,1,34.82152498
A81032,5136,5136,1,19.73791998,5360,5360,1,19.3805194,10496,10496,1,19.55540596
A81033,1902,1902,1,49.98465247,1542,1542,1,50.80839559,3444,3444,1,50.35347125
A81034,10825,10822,0.999722864,21.04672048,10864,10861,0.999723859,21.25935172,21689,21683,0.999723362,21.15322732
A81035,5448,5447,0.999816446,44.18604039,5255,5255,1,43.40652693,10703,10702,0.999906568,43.80327612
A81036,8413,8413,1,26.02702579,8923,8923,1,25.97490452,17336,17336,1,26.00019849
A81037,3730,3729,0.999731903,47.47942237,3394,3389,0.998526812,47.05765211,7124,7118,0.999157777,47.27861042
A81038,1694,1693,0.999409681,48.83811518,1618,1616,0.998763906,48.3973255,3312,3309,0.999094203,48.6228489
A81039,4428,4428,1,8.995941057,4587,4587,1,9.103389143,9015,9015,1,9.050612646
A81040,4277,4277,1,23.87313093,4286,4286,1,23.70467592,8563,8563,1,23.7888149
A81041,4571,4571,1,33.86528659,4527,4527,1,34.04097084,9098,9098,1,33.95270389
A81042,2983,2983,1,46.37358129,3058,3058,1,45.59419196,6041,6041,1,45.9790485
A81043,3891,3891,1,32.49041275,4090,4088,0.999511002,31.62674706,7981,7979,0.999749405,32.04791803
A81044,6948,6948,1,30.80213558,7105,7105,1,30.35229458,14053,14053,1,30.57470227
A81045,3688,3684,0.998915401,27.35861292,3980,3968,0.996984925,27.21970186,7668,7652,0.997913406,27.28657959
A81046,6360,6360,1,29.63948019,6521,6521,1,28.2088422,12881,12881,1,28.9152204
A81047,2742,2742,1,14.20458716,2946,2946,1,14.27505397,5688,5688,1,14.24108421
A81048,2523,2522,0.999603646,15.68663402,2549,2548,0.999607689,15.46180534,5072,5070,0.999605678,15.5736432
A81049,2711,2711,1,49.06673737,2774,2774,1,50.71536229,5485,5485,1,49.90051778
