"Variable","Description"
"practice_code","Practice code"
"total_male","Total number of register male patients"
"lsao2011_male_linked","Number of register male patients with a valid LSAO2011 code"
"lsao2011_male_proportion","Proportion of register male patients with a valid LSAO2011 code"
"male_attributed_imd2015_score","Attributed IMD2015 Score for register male patients"
"total_female","Total number of register female patients"
"lsao2011_female_linked","Number of register female patients with a valid LSAO2011 code"
"lsao2011_female_proportion","Proportion of register female patients with a valid LSAO2011 code"
"female_attributed_imd2015_score","Attributed IMD2015 Score for register female patients"
"total_all","Total number of register patients"
"lsao2011_all_linked","Number of register patients with a valid LSAO2011 code"
"lsao2011_all_proportion","Proportion of register patients with a valid LSAO2011 code"
"all_attributed_imd2015_score","Attributed IMD2015 Score for register patients"
